Team,Environment_Var
UAB Blazers,UAB_Blazers
South Florida Bulls,South_Florida_Bulls
Tulsa Golden Hurricane,Tulsa_Golden_Hurricane
East Carolina Pirates,East_Carolina_Pirates
Temple Owls,Temple_Owls
Memphis Tigers,Memphis_Tigers
Rice Owls,Rice_Owls
North Texas Mean Green,North_Texas_Mean_Green
Army Black Knights,Army_Black_Knights
Navy Midshipmen,Navy_Midshipmen
Florida Atlantic Owls,Florida_Atlantic_Owls
Charlotte 49ers,Charlotte_49ers
Tulane Green Wave,Tulane_Green_Wave
UTSA Roadrunners,UTSA_Roadrunners
Stanford Cardinal,Stanford_Cardinal
California Golden Bears,California_Golden_Bears
Florida State Seminoles,Florida_State_Seminoles
Georgia Tech Yellow Jackets,Georgia_Tech_Yellow_Jackets
Louisville Cardinals,Louisville_Cardinals
NC State Wolfpack,NC_State_Wolfpack
Boston College Eagles,Boston_College_Eagles
Duke Blue Devils,Duke_Blue_Devils
Wake Forest Demon Deacons,Wake_Forest_Demon_Deacons
North Carolina Tar Heels,North_Carolina_Tar_Heels
Pittsburgh Panthers,Pittsburgh_Panthers
Syracuse Orange,Syracuse_Orange
Virginia Cavaliers,Virginia_Cavaliers
Clemson Tigers,Clemson_Tigers
Virginia Tech Hokies,Virginia_Tech_Hokies
SMU Mustangs,SMU_Mustangs
Miami Hurricanes,Miami_Hurricanes
Arizona State Sun Devils,Arizona_State_Sun_Devils
Colorado Buffaloes,Colorado_Buffaloes
Arizona Wildcats,Arizona_Wildcats
Iowa State Cyclones,Iowa_State_Cyclones
Baylor Bears,Baylor_Bears
Oklahoma State Cowboys,Oklahoma_State_Cowboys
Utah Utes,Utah_Utes
Houston Cougars,Houston_Cougars
BYU Cougars,BYU_Cougars
UCF Knights,UCF_Knights
West Virginia Mountaineers,West_Virginia_Mountaineers
Cincinnati Bearcats,Cincinnati_Bearcats
Kansas Jayhawks,Kansas_Jayhawks
Kansas State Wildcats,Kansas_State_Wildcats
TCU Horned Frogs,TCU_Horned_Frogs
Texas Tech Red Raiders,Texas_Tech_Red_Raiders
USC Trojans,USC_Trojans
UCLA Bruins,UCLA_Bruins
Indiana Hoosiers,Indiana_Hoosiers
Northwestern Wildcats,Northwestern_Wildcats
Michigan State Spartans,Michigan_State_Spartans
Maryland Terrapins,Maryland_Terrapins
Michigan Wolverines,Michigan_Wolverines
Minnesota Golden Gophers,Minnesota_Golden_Gophers
Nebraska Cornhuskers,Nebraska_Cornhuskers
Rutgers Scarlet Knights,Rutgers_Scarlet_Knights
Ohio State Buckeyes,Ohio_State_Buckeyes
Penn State Nittany Lions,Penn_State_Nittany_Lions
Wisconsin Badgers,Wisconsin_Badgers
Washington Huskies,Washington_Huskies
Illinois Fighting Illini,Illinois_Fighting_Illini
Iowa Hawkeyes,Iowa_Hawkeyes
Oregon Ducks,Oregon_Ducks
Purdue Boilermakers,Purdue_Boilermakers
Western Kentucky Hilltoppers,Western_Kentucky_Hilltoppers
Jacksonville State Gamecocks,Jacksonville_State_Gamecocks
New Mexico State Aggies,New_Mexico_State_Aggies
Kennesaw State Owls,Kennesaw_State_Owls
Liberty Flames,Liberty_Flames
Florida International Panthers,Florida_International_Panthers
Middle Tennessee Blue Raiders,Middle_Tennessee_Blue_Raiders
Louisiana Tech Bulldogs,Louisiana_Tech_Bulldogs
Sam Houston Bearkats,Sam_Houston_Bearkats
UTEP Miners,UTEP_Miners
UConn Huskies,UConn_Huskies
Notre Dame Fighting Irish,Notre_Dame_Fighting_Irish
Massachusetts Minutemen,Massachusetts_Minutemen
Bowling Green Falcons,Bowling_Green_Falcons
Miami (OH) RedHawks,Miami_RedHawks
Ohio Bobcats,Ohio_Bobcats
Ball State Cardinals,Ball_State_Cardinals
Akron Zips,Akron_Zips
Central Michigan Chippewas,Central_Michigan_Chippewas
Buffalo Bulls,Buffalo_Bulls
Kent State Golden Flashes,Kent_State_Golden_Flashes
Eastern Michigan Eagles,Eastern_Michigan_Eagles
